         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
      445    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1622    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      107    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      447    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 __init__.py:326(<listcomp>)
      423    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     1012    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
     1434    0.000    0.000    0.000    0.000 version.py:69(__lt__)
     2810    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      565    0.000    0.000    0.002    0.000 popen_fork.py:25(poll)
      575    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      260    0.000    0.000    0.008    0.000 __init__.py:2047(<listcomp>)
     4009    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      126    0.000    0.000    0.001    0.000 typing.py:608(__init__)
    111/5    0.000    0.000    0.001    0.000 pyparsing.py:3319(streamline)
      839    0.000    0.000    0.000    0.000 functools.py:67(wraps)
      471    0.000    0.000    0.002    0.000 pyparsing.py:1167(copy)
    764/9    0.000    0.000    0.213    0.024 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      187    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
       41    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
     1741    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1336    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      445    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      133    0.000    0.000    0.001    0.000 pyparsing.py:3260(__init__)
      548    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1204    0.000    0.000    0.000    0.000 version.py:301(<genexpr>)
